,검다,까맣다,거무스름하다,흑색,블랙,붉다,빨갛다,불그스름하다,적색,레드,파랗다,새파랗다,시퍼렇다,청색,블루,하얗다,새하얗다,뽀얗다,백색,화이트,초록,푸르다,녹색,그린,갈색,밤색,잿빛,회색,은색
검다,1.0,0.5886,0.5022,0.4751,0.5885,0.4653,0.2957,0.439,0.2711,0.3386,0.3657,0.4153,0.4737,0.3395,0.305,0.1972,0.26,0.2864,0.2552,0.2246,0.1929,0.3231,0.1512,0.1275,0.3502,0.4988,0.4297,0.4133,0.3465
까맣다,0.5886,1.0,0.5959,0.613,0.5671,0.6193,0.5521,0.693,0.506,0.4728,0.4626,0.5766,0.4873,0.4959,0.4665,0.5534,0.5694,0.5593,0.4804,0.4638,0.4306,0.4912,0.4006,0.4198,0.5355,0.5421,0.6349,0.6007,0.4875
거무스름하다,0.5022,0.5959,1.0,0.4647,0.373,0.4523,0.3927,0.5789,0.3845,0.3322,0.3498,0.555,0.4839,0.3572,0.3519,0.4045,0.3807,0.465,0.2955,0.3014,0.3176,0.3339,0.2451,0.2486,0.4572,0.4767,0.5555,0.4764,0.4242
흑색,0.4751,0.613,0.4647,1.0,0.5728,0.4956,0.4144,0.5388,0.6635,0.5536,0.4962,0.5191,0.4397,0.6199,0.4895,0.4327,0.4116,0.3838,0.5829,0.5282,0.4649,0.4618,0.5308,0.5405,0.516,0.4985,0.6394,0.6639,0.5153
블랙,0.5885,0.5671,0.373,0.5728,1.0,0.3836,0.3211,0.4431,0.4978,0.4738,0.4359,0.3942,0.3843,0.513,0.5713,0.411,0.391,0.3373,0.5269,0.5639,0.2919,0.338,0.308,0.4255,0.4194,0.5057,0.5531,0.561,0.5096
붉다,0.4653,0.6193,0.4523,0.4956,0.3836,1.0,0.8308,0.6392,0.6307,0.7254,0.3697,0.5246,0.4428,0.4177,0.3362,0.3891,0.3617,0.4251,0.4408,0.43,0.4422,0.4119,0.4456,0.4253,0.377,0.3921,0.3718,0.3873,0.3943
빨갛다,0.2957,0.5521,0.3927,0.4144,0.3211,0.8308,1.0,0.5614,0.5937,0.6407,0.2896,0.415,0.4408,0.3244,0.3063,0.3125,0.2988,0.3675,0.43,0.4749,0.4288,0.3184,0.4363,0.4251,0.4225,0.3154,0.2694,0.3332,0.3152
불그스름하다,0.439,0.693,0.5789,0.5388,0.4431,0.6392,0.5614,1.0,0.5352,0.5457,0.4425,0.5883,0.4995,0.5526,0.5027,0.5179,0.4636,0.569,0.4336,0.4771,0.5274,0.5772,0.5489,0.4955,0.4452,0.5367,0.4707,0.4859,0.4772
적색,0.2711,0.506,0.3845,0.6635,0.4978,0.6307,0.5937,0.5352,1.0,0.7486,0.3952,0.4836,0.4172,0.6344,0.5711,0.5368,0.5117,0.4849,0.7316,0.6504,0.5599,0.4715,0.6031,0.6396,0.4912,0.4579,0.5201,0.6085,0.6044
레드,0.3386,0.4728,0.3322,0.5536,0.4738,0.7254,0.6407,0.5457,0.7486,1.0,0.4217,0.4794,0.4387,0.5676,0.5157,0.3527,0.3535,0.3767,0.5591,0.5939,0.6027,0.4688,0.5919,0.5939,0.5152,0.4651,0.3718,0.4302,0.495
